#{"t_start": 1771647627.1369338, "env_id": "None"}
r,l,t,is_success,distance
-21.997772,100,164.781247,0.0,0.30734074115753174
-25.396339,100,317.241237,0.0,0.3072018027305603
-27.510039,100,457.542238,0.0,0.21584339439868927
-25.602023,100,620.963634,0.0,0.30833008885383606
-24.514486,100,783.394663,0.0,0.29614734649658203
-24.405737,100,939.316256,0.0,0.24235333502292633
-22.40818,100,1118.220745,0.0,0.2858422100543976
-31.591101,100,1301.611395,0.0,0.539339542388916
-23.345223,100,1482.258327,0.0,0.18862523138523102
-33.211374,100,1665.394508,0.0,0.20795701444149017
-25.622547,100,1837.479742,0.0,0.21829690039157867
-23.718402,100,2012.430114,0.0,0.2758829891681671
-23.647144,100,2184.204279,0.0,0.21710801124572754
-24.214129,100,2339.927166,0.0,0.2551943361759186
-22.71971,100,2514.869656,0.0,0.2971286177635193
-22.670974,100,2691.287122,0.0,0.19005070626735687
-22.518493,100,2856.482588,0.0,0.27278369665145874
-20.630427,100,3038.718901,0.0,0.2163383662700653
-21.345361,100,3214.87803,0.0,0.1889195293188095
-20.814975,100,3392.165844,0.0,0.18900081515312195
-24.103439,100,3567.483648,0.0,0.34521111845970154
-28.06654,100,3741.435818,0.0,0.26225346326828003
-23.323342,100,3921.407001,0.0,0.24431797862052917
-23.008492,100,4096.79114,0.0,0.20810535550117493
-21.073066,100,4275.497091,0.0,0.19361717998981476
-21.209298,100,4453.853928,0.0,0.20684421062469482
-23.625754,100,4634.644537,0.0,0.2250429391860962
-21.735603,100,4807.679817,0.0,0.19835492968559265
-21.930329,100,4985.909773,0.0,0.2626512050628662
-23.014769,100,5163.489779,0.0,0.20903225243091583
-20.443305,100,5337.447966,0.0,0.27340611815452576
-21.593421,100,5520.790475,0.0,0.1908256560564041
-22.404556,100,5696.462939,0.0,0.20758989453315735
-21.536378,100,5876.710868,0.0,0.19208255410194397
-19.958449,100,6058.319125,0.0,0.18913675844669342
-20.144005,100,6230.329696,0.0,0.20749644935131073
-20.675424,100,6411.136957,0.0,0.205147847533226
-20.296478,100,6591.239475,0.0,0.1917041689157486
-20.48842,100,6772.713135,0.0,0.19219070672988892
-20.261792,100,6947.291134,0.0,0.19006970524787903
