#{"t_start": 1772142410.6686656, "env_id": "None"}
r,l,t,is_success,distance
-19.487583,100,15.644055,0.0,0.08958213776350021
-17.606685,100,29.997353,0.0,0.13776472210884094
-5.159504,41,37.989054,1.0,0.056313078850507736
-14.3585,88,51.54846,1.0,0.05863242223858833
-11.180857,77,63.815003,1.0,0.05751761049032211
-16.410191,98,77.965125,1.0,0.05595983937382698
-9.500804,69,88.991412,1.0,0.05978810414671898
-11.52477,77,101.081961,1.0,0.05820852518081665
-11.123396,75,112.636871,1.0,0.05871236324310303
-14.154156,100,127.47683,0.0,0.11329661309719086
-18.481126,100,142.245831,0.0,0.1592828631401062
-16.549046,100,157.208371,0.0,0.12933647632598877
-17.403051,100,172.381006,0.0,0.11887619644403458
-15.54828,100,187.389699,0.0,0.11830585449934006
-15.127975,94,201.787001,1.0,0.05815591663122177
-14.836125,95,215.993587,1.0,0.058565594255924225
-1.739686,17,220.843678,1.0,0.058014996349811554
-9.234696,68,231.609107,1.0,0.059985481202602386
-14.671676,93,245.564537,1.0,0.05927296727895737
-11.818141,85,258.679543,1.0,0.05918949842453003
-16.269113,100,274.4167,0.0,0.06419724225997925
-10.646739,74,287.132286,1.0,0.05947066470980644
-11.347722,75,299.393334,1.0,0.05935404449701309
-15.471545,100,314.039513,0.0,0.07881224900484085
-11.420419,81,326.540867,1.0,0.058669909834861755
-1.603428,16,331.203493,1.0,0.05712318420410156
-12.953156,100,345.1506,0.0,0.0866459310054779
-3.926975,32,351.738777,1.0,0.05824287608265877
-19.688543,100,365.952123,0.0,0.17968639731407166
-16.183717,100,380.665848,1.0,0.058248914778232574
-10.184455,73,392.028081,1.0,0.05963324010372162
-18.68882,100,406.547241,0.0,0.08475209772586823
-18.131323,100,421.590963,0.0,0.09225517511367798
-10.420848,69,432.11867,1.0,0.05867978557944298
-16.663588,100,447.037423,0.0,0.11676227301359177
-15.809175,100,461.4217,0.0,0.09114117920398712
-19.504252,100,476.221646,0.0,0.1692115217447281
-15.055949,90,490.07994,1.0,0.058506790548563004
-11.471125,75,501.507721,1.0,0.05887714400887489
-12.764232,100,515.884776,0.0,0.08133157342672348
-12.204639,92,529.361719,1.0,0.059240229427814484
-14.868793,100,543.820932,0.0,0.11579344421625137
-18.461513,100,558.436512,0.0,0.08523404598236084
-12.595954,82,570.695597,1.0,0.05862107872962952
-12.776722,100,585.114042,0.0,0.09293244779109955
-10.911535,78,597.357716,1.0,0.0586056150496006
-10.616426,77,609.321864,1.0,0.0566079244017601
-12.294191,95,623.172196,1.0,0.059867557138204575
-14.53468,100,638.242947,0.0,0.09222609549760818
-13.697826,100,652.851114,0.0,0.07372736185789108
-13.772467,100,667.609843,0.0,0.09233307093381882
-20.558674,100,681.799999,0.0,0.1615481823682785
-16.297358,100,695.74931,0.0,0.10000266134738922
-16.660198,100,710.307594,0.0,0.12255682051181793
-19.736857,100,724.849406,0.0,0.14387305080890656
-16.610176,100,739.497435,0.0,0.14038261771202087
-17.082842,100,753.798093,0.0,0.14677810668945312
-15.330975,100,767.925456,0.0,0.10683877766132355
-13.004644,81,780.248877,1.0,0.05826454609632492
-10.2106,79,792.00768,1.0,0.05661487206816673
