#{"t_start": 1771640129.4497702, "env_id": "None"}
r,l,t,is_success,distance
-19.999184,100,32.339588,0.0,0.2101978212594986
-24.952187,100,67.783013,0.0,0.2819971442222595
-21.817104,100,103.81374,0.0,0.25484347343444824
-24.901479,100,140.421465,0.0,0.25682953000068665
-22.177502,100,175.227624,0.0,0.20408260822296143
-25.492214,100,210.285092,0.0,0.2730318605899811
-21.848145,100,245.418907,0.0,0.2645619511604309
-21.594437,100,280.681799,0.0,0.260038822889328
-22.140021,100,315.835778,0.0,0.2657509744167328
-23.790848,100,350.914157,0.0,0.27571484446525574
-23.33007,100,384.840736,0.0,0.2951177656650543
-23.143343,100,420.111441,0.0,0.2803756892681122
-20.743033,100,455.65215,0.0,0.20868423581123352
-20.420146,100,490.536365,0.0,0.19007205963134766
-22.854976,100,525.228483,0.0,0.23789571225643158
-23.952617,100,559.58643,0.0,0.2032700926065445
-21.918944,100,594.447573,0.0,0.2516692876815796
-21.440709,100,629.609974,0.0,0.2366729974746704
-23.217757,100,664.602183,0.0,0.29611876606941223
-23.896398,100,700.904486,0.0,0.29529544711112976
-24.168393,100,736.288157,0.0,0.201181098818779
-22.386654,100,771.117918,0.0,0.2842032313346863
-22.870144,100,806.393897,0.0,0.30289527773857117
-20.538728,100,841.778797,0.0,0.21465040743350983
-24.739172,100,876.330892,0.0,0.2748773396015167
-21.456644,100,911.472601,0.0,0.20250290632247925
-26.281752,100,946.261822,0.0,0.19843418896198273
-20.48414,100,980.829464,0.0,0.1903999000787735
-21.491383,100,1016.66299,0.0,0.23932616412639618
-23.1808,100,1052.417732,0.0,0.21469959616661072
-23.479185,100,1088.027919,0.0,0.27353766560554504
-21.674385,100,1123.54084,0.0,0.2728147804737091
-22.360905,100,1158.972622,0.0,0.29990559816360474
-20.593225,100,1194.674218,0.0,0.19005215167999268
-19.574463,100,1229.788841,0.0,0.19487854838371277
-26.033731,100,1264.900967,0.0,0.23641780018806458
-21.357481,100,1299.485104,0.0,0.24568603932857513
-22.022518,100,1335.005302,0.0,0.24581381678581238
-20.389691,100,1370.454153,0.0,0.1900521218776703
-21.366992,100,1405.673953,0.0,0.21208927035331726
-20.461873,100,1441.188845,0.0,0.2526547312736511
-20.763143,100,1476.695333,0.0,0.1900618076324463
-19.948197,100,1511.8439,0.0,0.18970926105976105
-20.871929,100,1547.095873,0.0,0.1961459368467331
-19.596647,100,1582.229373,0.0,0.19050484895706177
-19.843205,100,1617.201817,0.0,0.21332359313964844
-19.620512,100,1652.665645,0.0,0.1899590790271759
-19.821759,100,1687.877603,0.0,0.1940121054649353
-20.02214,100,1723.369192,0.0,0.19513510167598724
-19.885268,100,1759.145735,0.0,0.21303191781044006
-20.531245,100,1795.486121,0.0,0.20494194328784943
-19.950423,100,1831.678978,0.0,0.19376179575920105
-20.276033,100,1867.864782,0.0,0.2040586918592453
-21.040824,100,1906.192713,0.0,0.20373252034187317
-20.272922,100,1942.965916,0.0,0.21012286841869354
-20.335504,100,1980.408295,0.0,0.19453831017017365
-19.462972,100,2019.205868,0.0,0.21326704323291779
-19.956509,100,2056.694054,0.0,0.1896699219942093
-19.544457,100,2095.296253,0.0,0.20303097367286682
-19.573788,100,2132.232983,0.0,0.1918894350528717
-19.224265,100,2168.597341,0.0,0.19365838170051575
-19.620723,100,2205.373081,0.0,0.19895626604557037
-19.961137,100,2240.861378,0.0,0.19158872961997986
-20.095631,100,2275.942846,0.0,0.2000076025724411
-20.289831,100,2312.646255,0.0,0.19333787262439728
-19.81551,100,2350.090482,0.0,0.19496296346187592
-19.367042,100,2388.198082,0.0,0.196293443441391
-19.872079,100,2426.448219,0.0,0.20173029601573944
-19.573273,100,2463.707921,0.0,0.19241946935653687
-19.371329,100,2499.301738,0.0,0.19119778275489807
-19.612266,100,2534.873968,0.0,0.18989761173725128
-19.715535,100,2570.442049,0.0,0.19023792445659637
-20.039951,100,2605.826095,0.0,0.19083420932292938
-19.648134,100,2640.967207,0.0,0.1910877376794815
-19.729672,100,2676.262248,0.0,0.19440695643424988
-20.220875,100,2711.404096,0.0,0.19040754437446594
-19.261145,100,2746.758318,0.0,0.19175904989242554
-19.36385,100,2781.934802,0.0,0.19636984169483185
-19.794531,100,2817.124189,0.0,0.2042434811592102
-19.902369,100,2852.400241,0.0,0.1905418336391449
-20.184848,100,2887.714279,0.0,0.1898512989282608
-19.702238,100,2923.233867,0.0,0.19024017453193665
-19.447725,100,2960.614143,0.0,0.19079774618148804
-19.559704,100,2997.445335,0.0,0.19000546634197235
-19.337505,100,3033.191084,0.0,0.19101521372795105
-19.609126,100,3068.491385,0.0,0.195522278547287
-19.312927,100,3103.646109,0.0,0.1899130642414093
-19.560389,100,3139.126709,0.0,0.19472511112689972
-19.696517,100,3174.346247,0.0,0.1898132562637329
-19.465895,100,3212.720994,0.0,0.19842159748077393
-19.471423,100,3249.534309,0.0,0.19255127012729645
-19.365393,100,3285.481029,0.0,0.18958747386932373
-19.380153,100,3322.313183,0.0,0.1923767626285553
-19.52382,100,3358.32608,0.0,0.1897045224905014
-19.289895,100,3394.666732,0.0,0.19277635216712952
-19.380547,100,3432.110004,0.0,0.19408023357391357
-19.588666,100,3468.653821,0.0,0.19630378484725952
-19.474679,100,3506.533454,0.0,0.19204986095428467
-19.519399,100,3542.7549,0.0,0.19043764472007751
-19.472088,100,3579.435581,0.0,0.18987420201301575
-19.760971,100,3616.475559,0.0,0.19042231142520905
-19.366731,100,3652.778076,0.0,0.19193677604198456
-20.188754,100,3690.465355,0.0,0.1931486576795578
-19.481555,100,3726.472385,0.0,0.18963725864887238
-19.290129,100,3765.061354,0.0,0.18979521095752716
-19.568625,100,3801.801111,0.0,0.1970168650150299
-19.607327,100,3838.389198,0.0,0.19043251872062683
-19.419202,100,3876.356668,0.0,0.18963631987571716
-19.405735,100,3913.161766,0.0,0.19128017127513885
-19.471242,100,3949.401951,0.0,0.18962770700454712
-19.467775,100,3986.91327,0.0,0.19011656939983368
-19.442082,100,4026.445147,0.0,0.19948120415210724
-19.416629,100,4063.459584,0.0,0.19269558787345886
-19.555726,100,4100.131361,0.0,0.19853830337524414
-19.673166,100,4136.760177,0.0,0.19392655789852142
-19.355549,100,4173.292577,0.0,0.18967008590698242
-19.347654,100,4209.578254,0.0,0.18960168957710266
-19.420862,100,4245.663945,0.0,0.18977488577365875
-19.540053,100,4281.48249,0.0,0.18969739973545074
-19.286482,100,4317.278846,0.0,0.1903802901506424
-19.287519,100,4352.992601,0.0,0.19462759792804718
-19.390354,100,4388.773559,0.0,0.18977411091327667
-19.355499,100,4424.757079,0.0,0.1930018812417984
-19.37157,100,4460.435063,0.0,0.19057965278625488
-19.376174,100,4496.396735,0.0,0.19336169958114624
-19.493064,100,4532.289001,0.0,0.19026392698287964
-19.424934,100,4568.068479,0.0,0.19013474881649017
-19.31522,100,4603.920588,0.0,0.19030576944351196
-19.219136,100,4639.780285,0.0,0.19440104067325592
-19.316489,100,4675.63548,0.0,0.19031566381454468
-19.267863,100,4711.36479,0.0,0.18980495631694794
-19.249492,100,4747.019161,0.0,0.19009354710578918
-19.272257,100,4782.918705,0.0,0.19050650298595428
-19.336696,100,4818.701217,0.0,0.19867642223834991
-19.334236,100,4854.352429,0.0,0.1896078884601593
-19.154692,100,4889.966847,0.0,0.19524511694908142
-19.320563,100,4925.532665,0.0,0.18973009288311005
-19.243485,100,4961.343537,0.0,0.18983754515647888
-19.491444,100,4997.113727,0.0,0.1901104897260666
-19.519822,100,5032.855537,0.0,0.18966111540794373
-19.368586,100,5068.657085,0.0,0.19234634935855865
-19.441122,100,5104.471479,0.0,0.18968428671360016
-19.323673,100,5140.152662,0.0,0.1922425925731659
-19.299151,100,5175.958565,0.0,0.19145989418029785
-19.297945,100,5211.722275,0.0,0.19305187463760376
-19.259901,100,5247.618953,0.0,0.19205276668071747
-19.272719,100,5283.403361,0.0,0.19131115078926086
-19.338758,100,5318.950752,0.0,0.19296467304229736
-20.003817,100,5354.720598,0.0,0.18995535373687744
-19.325998,100,5390.35482,0.0,0.1922423094511032
-19.340788,100,5426.243326,0.0,0.1908339411020279
-19.240102,100,5461.983526,0.0,0.19014433026313782
-19.290671,100,5498.010688,0.0,0.19242331385612488
-19.282111,100,5534.021541,0.0,0.19023336470127106
-19.261504,100,5569.532062,0.0,0.18969868123531342
-19.379607,100,5605.291559,0.0,0.1905355006456375
-19.279686,100,5641.154421,0.0,0.18972358107566833
-19.336106,100,5676.890011,0.0,0.18978756666183472
-19.350644,100,5712.750202,0.0,0.19029831886291504
-19.227541,100,5748.372916,0.0,0.1896263211965561
-19.287029,100,5784.120804,0.0,0.19091157615184784
-19.242664,100,5819.850257,0.0,0.18961511552333832
-19.240614,100,5855.73501,0.0,0.18988636136054993
-19.323836,100,5891.553996,0.0,0.1906961351633072
-19.23402,100,5927.466628,0.0,0.1896025836467743
-19.225419,100,5963.265298,0.0,0.19119304418563843
-19.128285,100,5999.244508,0.0,0.18968640267848969
-19.244225,100,6034.983665,0.0,0.19059039652347565
-19.248426,100,6070.781937,0.0,0.18960359692573547
-19.23361,100,6106.687675,0.0,0.18981079757213593
-19.262618,100,6142.435509,0.0,0.19586974382400513
-19.233032,100,6178.060791,0.0,0.18997222185134888
-19.33321,100,6213.683827,0.0,0.189629465341568
-19.221322,100,6249.42482,0.0,0.19053606688976288
-19.264607,100,6285.280284,0.0,0.19077278673648834
-19.260701,100,6321.274993,0.0,0.1904677003622055
-19.277781,100,6357.028543,0.0,0.19133755564689636
-19.253967,100,6392.590931,0.0,0.19564323127269745
-19.215978,100,6428.079644,0.0,0.18969975411891937
-19.255415,100,6463.965574,0.0,0.18962445855140686
-19.288901,100,6501.019302,0.0,0.19047383964061737
-19.255863,100,6538.007265,0.0,0.18989197909832
-19.260516,100,6575.050856,0.0,0.1906900852918625
-19.255233,100,6612.399323,0.0,0.19098009169101715
-19.266873,100,6649.037424,0.0,0.1895681470632553
-19.249824,100,6686.1964,0.0,0.18960703909397125
-19.297925,100,6722.563064,0.0,0.1915268450975418
-19.284434,100,6758.955669,0.0,0.18954649567604065
-19.23645,100,6797.854739,0.0,0.18964071571826935
-19.260489,100,6834.111255,0.0,0.18986257910728455
-19.276979,100,6870.436598,0.0,0.19210165739059448
-19.222517,100,6906.730772,0.0,0.1896364837884903
-19.095364,100,6943.300504,0.0,0.18983721733093262
-19.256939,100,6979.894442,0.0,0.1903500109910965
-19.092964,100,7015.675802,0.0,0.19026599824428558
-19.243975,100,7053.112745,0.0,0.19146594405174255
-19.289472,100,7089.90484,0.0,0.19040954113006592
-19.36208,100,7125.556337,0.0,0.1899215131998062
-19.215596,100,7161.085901,0.0,0.1934950202703476
-19.238284,100,7199.252852,0.0,0.18999028205871582
-19.279393,100,7235.85683,0.0,0.18962079286575317
-19.26502,100,7272.425431,0.0,0.19243310391902924
